分类: 📺央视/卫视频道, 名称: CCTV-16, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 51 ms, 最高速率: 5.67 M/s, 平均速率: 5.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: CCTV-17, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 33 ms, 最高速率: 49.21 M/s, 平均速率: 15.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视/卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 9, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: 广东卫视, 有效: 3, IPv4: 16, IPv6: 0, 最小延迟: 126 ms, 最高速率: 17.10 M/s, 平均速率: 9.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 18 ms, 最高速率: 32.95 M/s, 平均速率: 11.05 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 38 ms, 最高速率: 28.88 M/s, 平均速率: 12.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: 浙江卫视, 有效: 3, IPv4: 11, IPv6: 0, 最小延迟: 156 ms, 最高速率: 12.49 M/s, 平均速率: 8.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视/卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 48 ms, 最高速率: 12.08 M/s, 平均速率: 6.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视/卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.99 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视/卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 114 ms, 最高速率: 14.00 M/s, 平均速率: 7.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
